epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
140,1.087567,1.121741,1.121741,0,1.37e-04,4.2,1
141,1.083978,1.126749,1.121741,1,1.35e-04,4.2,0
142,1.082222,1.117317,1.117317,0,1.33e-04,4.2,1
143,1.082312,1.120928,1.117317,1,1.31e-04,4.2,0
144,1.080042,1.116596,1.116596,0,1.29e-04,4.2,1
145,1.078773,1.122274,1.116596,1,1.27e-04,4.3,0
146,1.081279,1.120536,1.116596,2,1.25e-04,4.2,0
147,1.081275,1.117717,1.116596,3,1.23e-04,4.2,0
148,1.077254,1.110630,1.110630,0,1.21e-04,4.2,1
149,1.073865,1.108169,1.108169,0,1.19e-04,4.2,1
150,1.071246,1.105498,1.105498,0,1.17e-04,4.2,1
151,1.070577,1.106836,1.105498,1,1.15e-04,4.2,0
152,1.070464,1.103299,1.103299,0,1.13e-04,4.2,1
153,1.071279,1.109001,1.103299,1,1.11e-04,4.2,0
154,1.070756,1.102922,1.102922,0,1.09e-04,4.2,1
155,1.069991,1.106506,1.102922,1,1.07e-04,4.3,0
156,1.069467,1.099723,1.099723,0,1.05e-04,4.2,1
157,1.068199,1.100696,1.099723,1,1.03e-04,4.2,0
158,1.065076,1.099472,1.099472,0,1.01e-04,4.2,1
159,1.065927,1.097219,1.097219,0,9.92e-05,4.2,1
160,1.064083,1.095360,1.095360,0,9.73e-05,4.2,1
161,1.062617,1.092771,1.092771,0,9.54e-05,4.2,1
162,1.061629,1.090425,1.090425,0,9.35e-05,4.3,1
163,1.059419,1.087914,1.087914,0,9.17e-05,4.2,1
164,1.058586,1.087875,1.087875,0,8.98e-05,4.2,1
165,1.057795,1.086026,1.086026,0,8.80e-05,4.2,1
166,1.058665,1.086460,1.086026,1,8.61e-05,4.2,0
167,1.057001,1.084753,1.084753,0,8.43e-05,4.2,1
168,1.057066,1.084758,1.084753,1,8.25e-05,4.2,0
169,1.055893,1.082587,1.082587,0,8.07e-05,4.2,1
170,1.055225,1.083493,1.082587,1,7.89e-05,4.2,0
171,1.054694,1.080097,1.080097,0,7.71e-05,4.2,1
172,1.053761,1.077877,1.077877,0,7.54e-05,4.2,1
173,1.052735,1.077361,1.077361,0,7.36e-05,4.2,1
174,1.051118,1.074251,1.074251,0,7.19e-05,4.2,1
175,1.051039,1.074280,1.074251,1,7.02e-05,4.2,0
176,1.049102,1.073324,1.073324,0,6.85e-05,4.2,1
177,1.050049,1.070838,1.070838,0,6.68e-05,4.2,1
178,1.047475,1.069429,1.069429,0,6.51e-05,4.2,1
179,1.048356,1.070333,1.069429,1,6.35e-05,4.2,0
180,1.047356,1.068562,1.068562,0,6.18e-05,4.2,1
181,1.048735,1.068681,1.068562,1,6.02e-05,4.2,0
182,1.046822,1.066998,1.066998,0,5.86e-05,4.2,1
183,1.045781,1.066819,1.066819,0,5.70e-05,4.2,1
184,1.045310,1.064961,1.064961,0,5.54e-05,4.2,1
185,1.043983,1.064804,1.064804,0,5.39e-05,4.2,1
186,1.044331,1.064478,1.064478,0,5.23e-05,4.2,1
187,1.044719,1.063664,1.063664,0,5.08e-05,4.2,1
188,1.043391,1.062512,1.062512,0,4.93e-05,4.3,1
189,1.043677,1.062297,1.062297,0,4.78e-05,4.2,1
190,1.043365,1.061591,1.061591,0,4.63e-05,4.2,1
191,1.042305,1.061124,1.061124,0,4.49e-05,4.2,1
192,1.042215,1.060174,1.060174,0,4.35e-05,4.2,1
193,1.042578,1.060158,1.060158,0,4.20e-05,4.2,1
