epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
220,1.051815,1.096880,1.096880,0,1.05e-05,3.7,1
221,1.050489,1.096722,1.096722,0,9.85e-06,3.5,1
222,1.052017,1.096771,1.096722,1,9.19e-06,3.6,0
223,1.052600,1.096707,1.096707,0,8.55e-06,3.6,1
224,1.051633,1.096583,1.096583,0,7.94e-06,3.6,1
225,1.053335,1.096478,1.096478,0,7.34e-06,3.6,1
226,1.051629,1.096316,1.096316,0,6.77e-06,3.6,1
227,1.053389,1.096171,1.096171,0,6.22e-06,3.6,1
228,1.050964,1.096058,1.096058,0,5.70e-06,3.6,1
229,1.050881,1.096003,1.096003,0,5.19e-06,3.5,1
230,1.050872,1.095963,1.095963,0,4.71e-06,3.6,1
231,1.050570,1.095950,1.095950,0,4.26e-06,3.6,1
232,1.051174,1.095862,1.095862,0,3.82e-06,3.6,1
233,1.051306,1.095790,1.095790,0,3.41e-06,3.6,1
234,1.050696,1.095727,1.095727,0,3.02e-06,3.6,1
235,1.050667,1.095710,1.095710,0,2.66e-06,3.6,1
236,1.050681,1.095695,1.095695,0,2.32e-06,3.6,1
237,1.050749,1.095688,1.095688,0,2.00e-06,3.6,1
238,1.049879,1.095671,1.095671,0,1.70e-06,3.6,1
239,1.049939,1.095641,1.095641,0,1.43e-06,3.6,1
240,1.050932,1.095605,1.095605,0,1.18e-06,3.6,1
241,1.050610,1.095577,1.095577,0,9.58e-07,3.6,1
242,1.050198,1.095558,1.095558,0,7.57e-07,3.7,1
243,1.050423,1.095532,1.095532,0,5.80e-07,3.6,1
244,1.050160,1.095519,1.095519,0,4.26e-07,3.6,1
245,1.050903,1.095512,1.095512,0,2.96e-07,3.6,1
246,1.050949,1.095506,1.095506,0,1.89e-07,3.6,1
247,1.049330,1.095504,1.095504,0,1.07e-07,3.6,1
248,1.050391,1.095504,1.095504,0,4.74e-08,3.6,1
249,1.049496,1.095503,1.095503,0,1.18e-08,3.6,1
250,1.050597,1.095503,1.095503,0,0.00e+00,3.6,1
